Pixel_ID,State,District,N,P,K,Moisture,pH,OC,Temp,NDVI
1,Maharashtra,Nagpur,226.98593065016303,23.092598434702445,191.32373751851702,32.21070073959453,6.449903893708977,0.5813779229590847,14.956148441021488,0.7605757260029258
2,Maharashtra,Amravati,225.1473119585891,16.848981156931114,144.28789254106363,18.45550297351737,5.5,0.7425554523595355,26.26578032380531,0.6780899201907311
3,Maharashtra,Sangli,268.5478761431993,19.792086894634405,221.04526694761446,23.37152671017341,6.684926289321995,0.886915690703881,14.893121537079631,0.889553888924947
4,Maharashtra,Latur,215.05540859339868,15.329707957454634,212.6979285973557,33.485103516234155,6.779097435193875,0.6563346950761041,18.22736708204363,0.7672758478620856
5,Maharashtra,Aurangabad,272.53181570028534,8.241979256721347,110.23162779957062,25.18116741521474,7.443079947997246,0.6257052421784955,22.53740687044704,0.775911704352857
6,Maharashtra,Satara,400.4447800461828,26.425911122104214,174.33874155636164,26.51461263358586,6.428183326470099,0.4428194096127279,15.497292911173933,0.6906574288890962
7,Maharashtra,Amravati,321.8599713497571,25.587680714697193,132.23521145498125,22.144725744892714,7.198758058842138,0.7463317690683539,21.08330304861884,0.7851472818668946
8,Maharashtra,Nagpur,332.73034052798755,27.400980827258344,100.0,27.82771765934934,5.773346186908051,0.7604221329295395,19.2649486363518,0.8627366550123151
9,Maharashtra,Nagpur,250.96796850441305,14.206653968630151,176.77200851497673,23.319472491921633,8.5,0.4462363666783703,19.87180869480064,0.8339154455832748
10,Maharashtra,Nagpur,348.67364268449097,16.890378690358116,133.61778786980656,20.98945773849278,7.549241270621245,0.6493126664489527,20.880959184931847,0.8410613946490685
11,Maharashtra,Nagpur,241.44268721332534,24.038753016643852,158.45164177883504,21.793045655203432,7.764240172083733,0.556207099376157,12.37929580974612,0.8276414355111014
12,Maharashtra,Latur,194.22405228311868,25.489305931556075,140.0272720896307,20.917275050950522,7.1807936805697805,0.3812224618519863,20.349046746487147,0.7882821754606707
13,Maharashtra,Aurangabad,309.0724107329939,13.672373183198975,135.8752795766791,26.744493892314857,6.96137316951942,0.6517353502567093,22.67965065859004,0.780689589468463
14,Maharashtra,Pune,225.51744754319603,17.4710106779607,185.29194338839898,23.955719100332562,7.460378103223842,0.4275311133758462,19.898655576172224,0.8618512684711399
15,Maharashtra,Nanded,344.16765865616594,11.588893623246314,196.40856922101216,37.142733754859876,6.405678204921587,0.5150553405595842,23.398605460350566,0.7597219476707041
16,Maharashtra,Aurangabad,260.54866074440827,17.806764219004744,199.2089029683098,16.66275877994816,7.321801619429239,0.4627963603108084,25.48219286384694,0.787125009850955
17,Maharashtra,Pune,330.15245881715737,25.23990181453656,179.25425603030018,15.339099889822569,6.383373481546907,0.7111860952567827,16.157881685899877,0.8095182793516789
18,Maharashtra,Pune,275.5929676549054,24.690937230663863,114.33721801048631,16.077260321494343,7.313164939370139,0.6445477009849779,24.001971401383507,0.8277158567597581
19,Maharashtra,Amravati,299.1828986629856,26.61612479277627,100.0,31.011787460703204,6.408770921724588,0.4359089386397289,12.0,0.7357457867989883
20,Maharashtra,Akola,180.1955560691129,19.848274246573233,230.44256955335504,19.592714100314844,6.424063220731656,0.7657392327675223,25.53696118505716,0.95
21,Maharashtra,Nanded,206.6291342224686,15.105138290207371,166.5304230763653,26.046911848899864,7.166014479598012,0.7240774873554036,23.052007567511627,0.9162827261725854
22,Maharashtra,Pune,297.5400408659004,14.857054661502305,121.80983758724994,26.89483449145911,6.86592232880449,0.7071000741138138,24.89295049829418,0.7941736869874503
23,Maharashtra,Sangli,203.0288572892685,16.418616010623484,164.9958200085379,13.50558339497032,6.195157901232301,0.3567458068584775,18.4091201087,0.9111682262517273
24,Maharashtra,Satara,312.9702596305634,17.304173683425308,188.83877611276708,19.630924503819998,5.918867218596064,0.6701575616247175,16.79426422363739,0.7591605424337924
25,Maharashtra,Amravati,261.4359088679502,25.231483932874355,234.68103477500873,24.043838236443793,7.798528796783251,0.7482303915756168,23.92918463270562,0.8140944737641858
26,Maharashtra,Nagpur,264.1010750662297,17.543547016570653,255.02964452569623,19.94517159467162,6.451952477606551,0.5317450239018651,21.348953547239574,0.8476514921443458
27,Maharashtra,Nanded,281.26517510717974,8.71812446928466,213.48764008875875,20.934333196278228,7.726239179881984,0.5773146051761656,21.50191376363812,0.6967027109491054
28,Maharashtra,Sangli,341.80612945710226,24.97259586562925,170.68144752169388,26.652444101200388,7.628811846396971,0.5057145378786441,21.22200502312327,0.6664694112727575
29,Maharashtra,Nagpur,216.03846792176935,16.530338516215174,163.89271779567957,19.238969893964335,6.778930006547982,0.6235802782645616,22.53810636030507,0.8665366861580679
30,Maharashtra,Nanded,316.72290140525405,27.598441132237248,186.97833194571842,33.90810591887694,6.203900940318462,0.8765573696627769,20.077034387081387,0.6976064213389497
31,Maharashtra,Latur,239.6368224093082,15.108374380868458,201.45915718369952,27.599379802266036,6.711251119705897,0.28593089939474053,21.319810141489935,0.8111363288765453
32,Maharashtra,Nanded,233.59733079818096,20.78444346371655,234.8572980079752,15.384827092923363,7.697898251292976,0.6015349591529381,19.073965395808195,0.8369682779410617
33,Maharashtra,Amravati,280.64408788412135,25.557395257310205,197.35273431506621,30.19507675696729,6.379358586108589,0.6306424413001993,24.924870913712507,0.8373645738183111
34,Maharashtra,Sangli,290.0856054215649,26.363831472928464,139.89613277074918,18.791494647573074,6.672977430791745,0.40989265477314973,23.441198314533686,0.7655979691320067
35,Maharashtra,Nagpur,247.5126649785635,17.041994392047002,143.47858593751047,29.097612582126146,7.214209291579029,0.49606356071090185,26.598399501733002,0.8245839616701288
36,Maharashtra,Aurangabad,286.9189204431203,19.52760989799316,100.0,32.33739803168979,8.12225433868931,0.8532025548553372,20.539019136922036,0.830623957372063
37,Maharashtra,Pune,219.84783630912722,26.971623906480648,239.87868991276966,21.362892747154337,6.755250788337222,0.6392434583958699,23.0485860362929,0.8744747267179264
38,Maharashtra,Akola,300.9171782776978,18.138399460439263,184.5874858619799,23.219141673793892,7.058197578995631,0.689273553815537,19.72711726706611,0.95
