lat,lon,N,P,K,Moisture,pH,OC,Temp,germ_shs,germ_category,boot_shs,boot_category
20.973874901078904,79.26067077168163,253.81381912433488,26.587091781699183,87.36579231683754,6.791755393748401,6.179516126150583,0.993982469263892,19.985518426973726,56.51,Fair,63.29,Fair
20.96620976885822,74.34275720067679,306.22305248532655,16.138592551936455,119.05447146619257,11.682372341724408,6.261445121775738,0.6998876708433233,17.758609970977993,55.11,Fair,70.01,Fair
21.04157072903673,72.0604460202167,246.73418375828163,14.526527568707056,137.9756729215342,25.959339585440457,7.728223149360316,0.3543020677069997,26.42520948088057,68.28,Fair,78.68,Good
16.439722017452915,77.08896014761761,130.98730601254204,28.412404079194275,174.92850850352,6.242347786349654,7.989517155060611,0.2121715540010752,17.71994562947024,43.88,Poor,45.3,Poor
21.42970421161265,73.4492240919856,309.8246987878418,25.1555883233766,144.6931097950544,19.08750109293085,5.5429338822835685,0.5127902590224102,18.710435194473728,88.17,Good,90.24,Good
21.831461094282027,79.10744467780872,160.99755667401752,21.37830762573728,120.53751136458148,26.043874625668572,7.649480878033398,0.3850010354607802,16.740699954373447,73.33,Fair,67.37,Fair
17.567879441283722,74.59587356943123,291.89123063149594,35.90406937254014,187.09560555783665,11.192367946962154,6.8746881107315865,0.5750067929578353,14.23659367068742,71.48,Fair,78.1,Good
21.87638720424713,73.46582378819416,208.08461917461307,33.64798673254346,158.66254192808145,5.958218031667782,6.351232269233869,0.7070568081404887,29.57548204451369,60.03,Fair,63.09,Fair
19.19567426400385,79.26855068547896,252.73135194125004,25.41901783394031,151.15771981003977,8.566283228165224,7.083289175984253,0.9134337854678852,12.335236197647143,64.37,Fair,70.11,Fair
20.503762650446426,79.53899128338429,255.8735105350013,23.888208967418667,171.79811230592856,28.13395190266848,6.335250496070161,0.9221980070972776,18.071549823465816,97.28,Good,95.8,Good
16.457492105604896,75.05471822506736,241.9892410571284,14.527865620662178,103.9418219796651,16.287985256644244,5.72657964388117,0.7313466766533527,17.732031356342354,53.65,Fair,66.88,Fair
20.32171772675482,76.00128611133854,305.9202253929666,19.58193604639213,116.5537209339976,10.770574237639476,7.776752231270409,0.7362936588049942,17.042077360949705,57.9,Fair,67.06,Fair
19.77190437132226,73.39871381380875,285.16545796281935,38.33426594753383,177.518791136726,24.37003200811785,6.014011233370878,0.758287387182536,29.745069797327663,98.35,Good,98.2,Good
16.194061221104555,75.90880398394417,163.20201038033042,18.67934485198598,117.9747011661822,15.034409173411827,6.454709544975043,0.4291702827484371,23.64266424316391,57.18,Fair,57.51,Fair
21.822737145061662,79.60044183925565,187.8773952042149,6.181702648399236,177.62033923159953,25.97680260819309,6.885519252135952,0.5887196677668203,27.433258881295547,57.59,Fair,72.5,Fair
17.240605169554915,79.38964983325369,218.29614651602623,26.46758638216132,176.13036822548102,27.60256901761112,5.967264915842174,0.6209526871472373,27.44321644478303,90.93,Good,87.09,Good
20.3298566749726,78.29480380979928,318.88422423752047,20.898947797370163,146.148066001036,10.109747682706267,7.33302216103228,0.474361660757732,13.72664000768638,65.6,Fair,73.3,Fair
19.828369796596697,73.21718888116551,338.8909641973105,18.064431694757356,189.50905862069868,23.86093363892156,5.597356667043928,0.2788532072087507,22.5360719816229,84.25,Good,89.81,Good
20.50934891732648,79.32154615799217,288.6909800252355,38.80094104007443,168.58216048752038,19.897294066876693,6.32251952455968,0.7230388605960958,21.84670436775432,99.69,Good,99.77,Good
18.89550641481392,75.16866822010047,234.2736165238352,5.840001076875059,155.08041461913027,19.27655692840524,5.524758758678563,0.7236874667121151,14.864038712092064,54.42,Fair,73.85,Fair
20.70346021241322,78.05922752847576,120.54643354145207,20.69314983858784,146.72081921545066,18.331049193609868,5.989320176365102,0.7773254494241473,19.41090781552609,79.31,Good,72.71,Fair
17.665492884473753,75.73881605288287,199.75040620412904,6.101040943352867,187.1728729907324,16.435321572732413,7.0937760152852585,0.3115237666022053,10.647756299239672,42.89,Poor,61.67,Fair
16.047891156388175,76.15162307583036,128.41104477581197,39.23460896572488,163.83263114497083,19.14200084532997,7.802165866816527,0.4058346701165967,11.485720111513157,73.06,Fair,66.64,Fair
20.079475847971587,72.7061286937406,125.63784610694412,37.71176591039372,105.18145887993695,17.716389650978197,7.580282182386215,0.2043531441104504,29.50795906715179,61.13,Fair,56.34,Fair
16.393321260985676,78.3692607971677,230.3743935330068,27.091963363249448,194.4348489708641,25.05000542378306,7.005355952473595,0.5098466852199388,27.027877229641643,91.49,Good,88.49,Good
20.92000394041134,75.6557444535268,161.31628562533396,9.8944988145326,143.61991764596118,10.648535847955095,7.895521734728984,0.7045890795299028,12.261896636727052,18.53,Poor,39.91,Poor
17.02955822906447,72.58586795949309,306.92000796398884,15.376826206648438,180.29481387211217,10.646167079568858,7.797747611526163,0.5634487159023741,26.929359574707192,51.39,Fair,68.7,Fair
18.66041926008804,75.58036823620075,299.53042587926984,38.51826271829021,150.46585433091522,19.64678131743826,7.868772862473598,0.9396919500098206,19.162659069853635,93.71,Good,94.86,Good
18.129310766429622,79.92748638860535,267.121600594306,9.58426966930801,124.90072926236608,21.163022962913665,6.427782887867657,0.6089806704447076,23.65372350722417,61.86,Fair,82.21,Good
21.56973899317521,72.59003353328825,295.81384492721264,13.400334356321986,139.8084327857521,9.645701387359358,6.015285870084144,0.9474113550705828,14.467967448296148,45.76,Poor,67.07,Fair
21.595643975820337,79.40996125433429,163.04622883326982,36.95500369551039,87.64997941659051,11.791693013563869,6.241752511164261,0.3212821556358016,22.28592825398161,47.79,Poor,48.22,Poor
16.402088400110575,79.16048346393988,325.4151465676184,32.0690601542299,148.3369537403732,20.725329025539764,6.753469349221787,0.275658452072587,10.16433919723658,92.13,Good,92.48,Good
19.699527179069648,74.20173449210402,215.74878408307447,19.20751466392092,110.87433743556169,9.175791897187972,7.424088193857628,0.8596269498448377,14.703862921058878,48.69,Poor,54.64,Fair
16.28447066253128,78.7294152795714,264.7558774680581,37.87814746145256,154.30046976213328,16.207996704922568,7.382787648766168,0.8074719243582562,25.150063056871705,85.17,Good,86.98,Good
20.03484685827947,74.45065623161702,208.5461472827479,15.817053139425012,122.0822203553784,24.346117417727896,6.411192320893109,0.3601010680599204,29.922454215633007,67.09,Fair,72.24,Fair
20.248694612643988,79.92827877818142,199.22380450127935,26.581305906423136,179.84837838205834,9.854694132302612,7.010061512099576,0.3481100113932903,26.825189432191763,55.5,Fair,58.53,Fair
18.127513313104373,79.33071415372372,146.31972922445797,37.01291847474734,141.6728133922503,15.959920535565596,6.183716053742288,0.8364594310298461,18.445234224325056,70.99,Fair,66.28,Fair
20.1391480788885,76.0826837789071,341.3893153664155,30.02225207071356,132.19376260147902,22.925516002853268,7.138580651241546,0.2964594002969942,11.8993286458623,88.68,Good,89.41,Good
18.66285241604345,73.7462864321848,245.46810879745328,37.44069121085832,90.90077214240618,23.723798457277912,7.636012047564591,0.2962434226595024,25.305443022106537,78.0,Good,77.45,Good
16.64757914040009,78.46231841418069,330.7330738371761,28.91019471168369,181.56237306217085,6.200568161314406,7.044646169812195,0.4772592303096018,12.41704828078278,65.76,Fair,73.41,Fair
19.43953587269477,79.49276407224424,213.0991459960443,31.017687712351304,144.07402050407313,5.730787295655849,7.023201241209683,0.4220882247957286,13.991243731434029,56.57,Fair,60.41,Fair
16.852501768378854,78.37491228924472,258.69719219716194,34.04631098008697,107.86873362606715,21.20231937667587,5.988703563218591,0.8336615266462448,29.829657919021656,85.46,Good,84.81,Good
20.57541263256001,79.04407417146638,123.22005919605532,20.86472147569019,146.88809319589484,22.39182443896083,7.990907165606364,0.9437907164167748,25.2409603028417,75.93,Good,69.07,Fair
17.776480519341142,79.1536082393376,226.38583305819557,19.788342040617152,100.01429960638856,17.25689742741983,7.1456731225785415,0.8850323049654942,27.35094130326829,73.05,Fair,72.92,Fair
