Pixel_ID,State,District,N,P,K,Moisture,pH,OC,Temp,SHS,avg_shs,category
1,Maharashtra,Nagpur,182.48827554180247,19.577165362252035,353.1702583621376,21.37926409863616,7.947380049306302,0.3599807787417954,15.97259277563843,77.19,77.19,Good
2,Maharashtra,Amravati,195.3598287518286,14.095609329882423,283.23811349752964,10.0,7.171447933698344,0.3991100594703474,23.37592420599226,39.6,39.6,Poor
3,Maharashtra,Pune,118.04470924719884,20.017206125190658,302.42692223399564,29.434904790236004,7.334453153402093,0.4228404368214479,20.938862056264835,82.87,82.87,Good
4,Maharashtra,Latur,232.7775658561216,11.245032112888486,346.298861284197,18.991466938853016,7.159744524032479,0.4449967500248068,25.630695461272342,61.36,61.36,Fair
5,Maharashtra,Nagpur,266.51140969485186,18.86559457364709,292.94689346048114,18.47773274811705,6.936491903229968,0.5379335392137249,17.555151740443794,89.4,89.4,Good
6,Maharashtra,Aurangabad,202.34416739964655,18.093191580269316,381.72327272640274,25.86850208416841,6.996365862853957,0.3100046943755735,19.6546458458426,81.43,81.43,Good
7,Maharashtra,Akola,235.18091447842303,8.18479922318633,342.68587785763566,25.05838144420434,7.245967087833474,0.4187693599632849,23.57749880623988,62.2,62.2,Fair
8,Maharashtra,Pune,286.56400595580993,20.49220129605481,332.15214445653635,21.15897455950457,7.664913805447625,0.6289346595104556,23.911921613761308,97.66,97.66,Good
9,Maharashtra,Pune,231.11339393646725,14.948083456568495,402.5801441290491,23.48280692164485,7.040716824217729,0.7001754503076515,18.40542530871129,79.23,79.23,Good
10,Maharashtra,Sangli,226.20981274859076,18.80697802754207,427.66255965261786,10.0,7.38566958435602,0.7577572386976807,23.05475626093806,60.12,60.12,Fair
11,Maharashtra,Sangli,234.35235341190852,15.504963247670664,326.4232543574852,23.78556285755873,6.604972434159643,0.5436393734594986,24.69473511185379,80.49,80.49,Good
12,Maharashtra,Aurangabad,194.08648908631764,17.678769147382432,362.5662763400673,14.66516057410237,7.681992524533088,0.5433108053109362,23.231573678765404,63.81,63.81,Fair
13,Maharashtra,Latur,227.855843502814,18.572564479315854,416.0303493484844,25.365627513869875,7.470221317581934,0.4428853744266507,20.35842454326861,87.61,87.61,Good
14,Maharashtra,Akola,199.60871379336197,18.48060138532288,338.27386905259226,14.92314628974793,7.402045382656984,0.4718495439949823,19.948386693086604,69.22,69.22,Fair
